Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"100KOHM"	"100KRESISTOR"	"76.96mm"	"59.18mm"	"76.96mm"	"59.18mm"	"83.46mm"	"59.18mm"	"T"	"0"	"100KRESISTOR"
"C1"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"82.3mm"	"65.91mm"	"82.3mm"	"65.91mm"	"82.3mm"	"64.91mm"	"T"	"90"	"47uF"
"C5"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"68.71mm"	"54.1mm"	"68.71mm"	"54.1mm"	"68.71mm"	"53.1mm"	"T"	"90"	"47uF"
"LDO"	"SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR"	"73.91mm"	"67.18mm"	"73.91mm"	"67.18mm"	"75.27mm"	"65.68mm"	"T"	"0"	"LDO"
"MOSFET"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"69.6mm"	"62.48mm"	"69.6mm"	"62.48mm"	"70.6mm"	"61.53mm"	"T"	"0"	"SI2301CDS-T1-GE3-ES"
"R4"	"RESISTOR10K"	"77.98mm"	"56.13mm"	"77.98mm"	"56.13mm"	"72.6mm"	"56.13mm"	"T"	"0"	"RESISTOR10K"
"U1"	"SW-TH_EG2210"	"75.06mm"	"47.24mm"	"75.06mm"	"47.24mm"	"71.06mm"	"45.99mm"	"T"	"0"	"SW-TH_EG2210"
"U2"	"CONN-TH_S2B-PH-K-S-LF-SN"	"63.25mm"	"61.85mm"	"63.25mm"	"61.85mm"	"63.25mm"	"62.85mm"	"T"	"90"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U3"	"CONN-TH_S2B-PH-K-S-LF-SN"	"86.87mm"	"62.74mm"	"86.87mm"	"62.74mm"	"86.87mm"	"61.74mm"	"T"	"270"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U4"	"CONN-TH_S2B-PH-K-S-LF-SN"	"63.25mm"	"54.36mm"	"63.25mm"	"54.36mm"	"63.25mm"	"55.36mm"	"T"	"90"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U5"	"CONN-TH_S2B-PH-K-S-LF-SN"	"87mm"	"54.74mm"	"87mm"	"54.74mm"	"87mm"	"53.74mm"	"T"	"270"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U6"	"CONN-TH_S2B-PH-K-S-LF-SN"	"86.87mm"	"46.99mm"	"86.87mm"	"46.99mm"	"86.87mm"	"45.99mm"	"T"	"270"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U7"	"CONN-TH_S2B-PH-K-S-LF-SN"	"63.25mm"	"46.86mm"	"63.25mm"	"46.86mm"	"63.25mm"	"47.86mm"	"T"	"90"	"CONN-TH_S2B-PH-K-S-LF-SN"
