Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"100KOHM"	"100KRESISTOR"	"68.07mm"	"57.66mm"	"68.07mm"	"57.66mm"	"74.57mm"	"57.66mm"	"T"	"0"	"100KRESISTOR"
"C1"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"66.04mm"	"70.23mm"	"66.04mm"	"70.23mm"	"67.04mm"	"70.23mm"	"T"	"180"	"47uF"
"C2"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"59.31mm"	"70.23mm"	"59.31mm"	"70.23mm"	"60.31mm"	"70.23mm"	"T"	"180"	"47uF"
"LDO"	"SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR"	"72.9mm"	"67.69mm"	"72.9mm"	"67.69mm"	"71.4mm"	"66.33mm"	"T"	"270"	"LDO"
"MOSFET"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"61.85mm"	"62.23mm"	"61.85mm"	"62.23mm"	"62.85mm"	"61.28mm"	"T"	"0"	"SI2301CDS-T1-GE3-ES"
"R4"	"RESISTOR10K"	"69.22mm"	"53.47mm"	"69.22mm"	"53.47mm"	"63.84mm"	"53.47mm"	"T"	"0"	"RESISTOR10K"
"U1"	"SW-TH_EG2210"	"56.64mm"	"50.42mm"	"56.64mm"	"50.42mm"	"52.64mm"	"49.17mm"	"T"	"0"	"SW-TH_EG2210"
"U2"	"CONN-TH_S2B-PH-K-S-LF-SN"	"60.83mm"	"75.31mm"	"60.83mm"	"75.31mm"	"61.83mm"	"75.31mm"	"T"	"0"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U3"	"CONN-TH_S2B-PH-K-S-LF-SN"	"68.96mm"	"75.31mm"	"68.96mm"	"75.31mm"	"69.96mm"	"75.31mm"	"T"	"0"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U4"	"CONN-TH_S2B-PH-K-S-LF-SN"	"77.98mm"	"75.31mm"	"77.98mm"	"75.31mm"	"78.98mm"	"75.31mm"	"T"	"0"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U5"	"CONN-TH_S2B-PH-K-S-LF-SN"	"76.45mm"	"55.37mm"	"76.45mm"	"55.37mm"	"76.45mm"	"54.37mm"	"T"	"270"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U6"	"CONN-TH_S2B-PH-K-S-LF-SN"	"91.19mm"	"70.74mm"	"91.19mm"	"70.74mm"	"91.19mm"	"69.74mm"	"T"	"270"	"CONN-TH_S2B-PH-K-S-LF-SN"
"U7"	"CONN-TH_S2B-PH-K-S-LF-SN"	"86.49mm"	"75.31mm"	"86.49mm"	"75.31mm"	"87.49mm"	"75.31mm"	"T"	"0"	"CONN-TH_S2B-PH-K-S-LF-SN"
