Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"REF**"	"Bela:PocketBeagle3D_for_Belamini"	"Bela:PocketBeagle3D_for_Belamini"	"132.588mm"	"-122.225mm"	"132.588mm"	"-122.225mm"	"132.588mm"	"-122.225mm"	"0"	"T"	"0"	"Yes"	"PocketBeagle3D_for_Belamini"	"PocketBeagle3D_for_Belamini"
"J3"	"Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical"	"Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical"	"121.064mm"	"-90.679mm"	"132.494mm"	"-90.679mm"	"132.494mm"	"-90.679mm"	"10"	"T"	"270"	"No"	"Conn_01x10"	"Conn_01x10"
"U1"	"S2B-PH-K-S(LF)(SN)"	"CONN-TH_S2B-PH-K-S-LF-SN"	"168.148mm"	"-117.348mm"	"168.148mm"	"-117.348mm"	"168.148mm"	"-118.348mm"	"2"	"T"	"270"	"No"	"S2B-PH-K-S(LF)(SN)"	"S2B-PH-K-S(LF)(SN)"
"U2"	"S4B-PH-K-S(LF)(SN)"	"CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN"	"168.148mm"	"-109.22mm"	"168.148mm"	"-109.22mm"	"168.148mm"	"-112.22mm"	"4"	"T"	"90"	"No"	"S4B-PH-K-S(LF)(SN)"	"S4B-PH-K-S(LF)(SN)"
"J2"	"Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"	"Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"	"147.728mm"	"-83.045mm"	"145.188mm"	"-83.045mm"	"145.188mm"	"-83.045mm"	"3"	"T"	"90"	"No"	"Conn_01x03"	"Conn_01x03"
"U3"	"S4B-PH-K-S(LF)(SN)"	"CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN"	"168.148mm"	"-99.06mm"	"168.148mm"	"-99.06mm"	"168.148mm"	"-102.06mm"	"4"	"T"	"90"	"No"	"S4B-PH-K-S(LF)(SN)"	"S4B-PH-K-S(LF)(SN)"
"CN1"	"PJ-322环保"	"AUDIO-TH_HOOYA_PJ-322"	"163.322mm"	"-89.154mm"	"163.322mm"	"-89.154mm"	"158.872mm"	"-89.154mm"	"5"	"T"	"180"	"No"	"PJ-322环保"	"PJ-322环保"
"R3"	"FRC0805J103TS"	"R0805"	"129.413mm"	"-95.885mm"	"129.413mm"	"-95.885mm"	"128.413mm"	"-95.885mm"	"2"	"T"	"0"	"Yes"	"10kΩ"	"10kΩ"
"R4"	"1206W4F1004T5E"	"R1206"	"129.667mm"	"-99.06mm"	"129.667mm"	"-99.06mm"	"128.188mm"	"-99.06mm"	"2"	"T"	"0"	"Yes"	"1MΩ"	"1MΩ"
"J9"	"Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical"	"Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical"	"135.028mm"	"-116.065mm"	"129.948mm"	"-116.065mm"	"129.948mm"	"-116.065mm"	"5"	"T"	"90"	"No"	"Conn_01x05"	"Conn_01x05"
"J1"	"Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"	"Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"	"147.728mm"	"-116.065mm"	"145.188mm"	"-116.065mm"	"145.188mm"	"-116.065mm"	"3"	"T"	"90"	"No"	"Conn_01x03"	"Conn_01x03"
""	"Bela:PB2"	"Bela:PB2"	"-131.191mm"	"-99.568mm"	"-131.191mm"	"-99.568mm"	"-109.601mm"	"-85.598mm"	"72"	"B"	"180"	"No"	"PocketBeagle2"	"PocketBeagle2"
"R1"	"FRC0603F2201TS"	"R0603"	"112.395mm"	"-94.488mm"	"112.395mm"	"-94.488mm"	"111.642mm"	"-94.488mm"	"2"	"T"	"0"	"Yes"	"2.2kΩ"	"2.2kΩ"
"R2"	"FRC0603F2201TS"	"R0603"	"112.395mm"	"-97.86mm"	"112.395mm"	"-97.86mm"	"111.642mm"	"-97.86mm"	"2"	"T"	"0"	"Yes"	"2.2kΩ"	"2.2kΩ"
"R1"	"FRC0603F2201TS"	"R0603"	"120.142mm"	"-94.488mm"	"120.142mm"	"-94.488mm"	"119.389mm"	"-94.488mm"	"2"	"T"	"0"	"Yes"	"2.2kΩ"	"2.2kΩ"
"R1"	"FRC0603F2201TS"	"R0603"	"120.269mm"	"-97.536mm"	"120.269mm"	"-97.536mm"	"119.516mm"	"-97.536mm"	"2"	"T"	"0"	"Yes"	"2.2kΩ"	"2.2kΩ"
"C3"	"CL10A106KP8NNNC"	"C0603"	"121.285mm"	"-106.553mm"	"121.285mm"	"-106.553mm"	"120.585mm"	"-106.553mm"	"2"	"T"	"0"	"Yes"	"10uF"	"10uF"
"C4"	"CL10A106KP8NNNC"	"C0603"	"138.176mm"	"-106.299mm"	"138.176mm"	"-106.299mm"	"137.476mm"	"-106.299mm"	"2"	"T"	"0"	"Yes"	"10uF"	"10uF"
