Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"PAD9"	"SMD1,27-2,54"	"34.29mm"	"19.3mm"	"34.29mm"	"19.3mm"	"34.29mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD10"	"SMD1,27-2,54"	"36.32mm"	"19.3mm"	"36.32mm"	"19.3mm"	"36.32mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD11"	"SMD1,27-2,54"	"38.35mm"	"19.3mm"	"38.35mm"	"19.3mm"	"38.35mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD12"	"SMD1,27-2,54"	"40.39mm"	"19.3mm"	"40.39mm"	"19.3mm"	"40.39mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD13"	"SMD1,27-2,54"	"42.42mm"	"19.3mm"	"42.42mm"	"19.3mm"	"42.42mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD14"	"SMD1,27-2,54"	"44.45mm"	"19.3mm"	"44.45mm"	"19.3mm"	"44.45mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD15"	"SMD1,27-2,54"	"46.48mm"	"19.3mm"	"46.48mm"	"19.3mm"	"46.48mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD16"	"SMD1,27-2,54"	"48.51mm"	"19.3mm"	"48.51mm"	"19.3mm"	"48.51mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD17"	"SMD1,27-2,54"	"50.55mm"	"19.3mm"	"50.55mm"	"19.3mm"	"50.55mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
"PAD18"	"SMD1,27-2,54"	"52.58mm"	"19.3mm"	"52.58mm"	"19.3mm"	"52.58mm"	"19.3mm"	"T"	"0"	"SMD1,27-2,54"
