Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name	LCSC Part Name	Supplier Part	Manufacturer	JLCPCB Part Class	Supplier Footprint	Manufacturer Part	Datasheet	Supplier
"R3"	"FRC0603J104 TS"	"R0603"	"24.257mm"	"63.5mm"	"24.257mm"	"63.5mm"	"23.504mm"	"63.5mm"	"2"	"T"	"0"	"Yes"	"100kΩ"	"100kΩ"	"100kΩ ±5% 100mW 厚膜电阻"	"C2907088"	"FOJAN(富捷)"	"Extended Part"	"0603"	"FRC0603J104 TS"	""	"LCSC"
"C3"	"FCC0402B103K500AT"	"C0402"	"25.832mm"	"59.827mm"	"25.832mm"	"59.827mm"	"25.832mm"	"60.247mm"	"2"	"T"	"270"	"Yes"	"10nF"	"10nF"	"10nF ±10% 50V"	"C5137480"	"FOJAN(富捷)"	"Extended Part"	"0402"	"FCC0402B103K500AT"	"https://item.szlcsc.com/datasheet/FCC0402B103K500AT/5746982.html"	"LCSC"
"R1"	"FRC0603J104 TS"	"R0603"	"17.018mm"	"61.976mm"	"17.018mm"	"61.976mm"	"17.018mm"	"61.223mm"	"2"	"T"	"90"	"Yes"	"100kΩ"	"100kΩ"	"100kΩ ±5% 100mW 厚膜电阻"	"C2907088"	"FOJAN(富捷)"	"Extended Part"	"0603"	"FRC0603J104 TS"	""	"LCSC"
"C1"	"FCC0402B103K500AT"	"C0402"	"16.891mm"	"58.166mm"	"16.891mm"	"58.166mm"	"16.891mm"	"57.746mm"	"2"	"T"	"90"	"Yes"	"10nF"	"10nF"	"10nF ±10% 50V"	"C5137480"	"FOJAN(富捷)"	"Extended Part"	"0402"	"FCC0402B103K500AT"	"https://item.szlcsc.com/datasheet/FCC0402B103K500AT/5746982.html"	"LCSC"
"C2"	"FCC0402B103K500AT"	"C0402"	"19.431mm"	"58.293mm"	"19.431mm"	"58.293mm"	"19.431mm"	"57.873mm"	"2"	"T"	"90"	"Yes"	"10nF"	"10nF"	"10nF ±10% 50V"	"C5137480"	"FOJAN(富捷)"	"Extended Part"	"0402"	"FCC0402B103K500AT"	"https://item.szlcsc.com/datasheet/FCC0402B103K500AT/5746982.html"	"LCSC"
"R2"	"FRC0603J104 TS"	"R0603"	"19.836mm"	"61.976mm"	"19.836mm"	"61.976mm"	"19.836mm"	"61.223mm"	"2"	"T"	"90"	"Yes"	"100kΩ"	"100kΩ"	"100kΩ ±5% 100mW 厚膜电阻"	"C2907088"	"FOJAN(富捷)"	"Extended Part"	"0603"	"FRC0603J104 TS"	""	"LCSC"
"U2"	"LM358ST"	"MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL"	"23.241mm"	"54.229mm"	"23.241mm"	"54.229mm"	"24.216mm"	"56.375mm"	"8"	"T"	"180"	"Yes"	"LM358ST"	"LM358ST"	"低功耗双运算放大器，低输入偏置电流"	"C54867"	"ST(意法半导体)"	"Extended Part"	"MSOP-8"	"LM358ST"	"https://item.szlcsc.com/datasheet/LM358ST/55891.html"	"LCSC"
"U3"	"ICS-40638"	"MIC-SMD_L3.5-W2.7_MNR8065S332MT"	"17.653mm"	"54.864mm"	"17.653mm"	"54.864mm"	"19.005mm"	"55.702mm"	"8"	"T"	"90"	"Yes"	"ICS-40638"	"ICS-40638"	"1.52V~3.63V43dB"	"C3171798"	"TDK InvenSense(应美盛)"	"Extended Part"	"SMD-5P,3.5x2.7mm"	"ICS-40638"	"https://item.szlcsc.com/datasheet/ICS-40638/3733735.html"	"LCSC"
"U1"	"S4B-PH-K-S(LF)(SN)"	"CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN"	"29.718mm"	"55.245mm"	"29.718mm"	"55.245mm"	"29.718mm"	"52.245mm"	"4"	"T"	"90"	"No"	"S4B-PH-K-S(LF)(SN)"	"S4B-PH-K-S(LF)(SN)"	"1x4P 间距:2mm 弯插 系列:PH"	"C157926"	"JST"	"Extended Part"	"弯插,P=2mm"	"S4B-PH-K-S(LF)(SN)"	"https://item.szlcsc.com/datasheet/S4B-PH-K-S(LF)(SN)/169274.html"	"LCSC"
"C4"	"CL05B104KB54PNC"	"C0402"	"19.177mm"	"52.451mm"	"19.177mm"	"52.451mm"	"18.757mm"	"52.451mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"	"100nF ±10% 50V"	"C307331"	"SAMSUNG(三星)"	"Basic Part"	"0402"	"CL05B104KB54PNC"	"https://item.szlcsc.com/datasheet/CL05B104KB54PNC/291005.html"	"LCSC"
